,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Target
0,32.53,65.25,143.52,344403.32,0.0,91.0,2232.0,9.579,,,243.93
1,32.51,14.64,143.47,342850.65,0.0,94.0,2222.0,9.157,,,242.79
2,32.49,162.09,143.43,341297.97,0.0,94.0,2212.0,8.735,,,241.65
3,32.49,195.61,143.43,343638.49,0.0,98.0,2228.0,8.312,,,243.34
4,32.43,279.26,143.43,345192.38,0.0,99.0,2240.0,7.89,,,244.62
5,32.43,48.92,143.43,346671.52,0.0,93.0,2249.0,7.467,,,245.62
6,32.43,149.85,143.26,345245.03,0.0,99.0,2247.0,7.045,,,244.62
7,32.61,23.31,143.6,345973.03,0.0,100.0,2259.0,6.622,,,245.16
8,32.79,456.38,143.93,346701.03,0.0,93.0,2271.0,6.2,,,245.71
9,32.97,5.41,144.26,347429.03,0.0,91.0,2283.0,6.564,49.0,212.75,246.26
10,33.03,349.88,144.26,347837.23,0.0,94.0,2286.0,6.928,,,246.6
11,33.06,99.37,144.26,349834.29,0.0,98.0,2298.0,7.292,,,247.98
12,33.06,387.08,144.26,349834.29,0.0,99.0,2307.0,7.656,,,248.86
13,33.09,104.03,144.26,352331.59,0.0,92.0,2315.0,8.02,,,249.73
14,33.08,339.65,144.26,352091.39,0.0,97.0,2313.0,8.383,,,249.53
15,33.07,173.78,144.26,351851.2,0.0,96.0,2311.0,8.747,,,249.34
16,33.06,357.8,144.26,351611.0,0.0,91.0,2309.0,9.111,,,249.14
17,33.09,235.93,144.26,353132.78,0.0,97.0,2320.0,9.475,,,250.26
18,33.09,481.45,144.26,354711.11,0.0,94.0,2330.0,9.839,,,251.4
19,33.12,167.44,144.26,360800.05,0.0,92.0,2370.0,10.203,,,255.7
20,33.39,15.49,144.26,361571.21,0.0,96.0,2376.0,10.567,,,256.3
21,33.45,157.76,144.26,361799.01,0.0,100.0,2378.0,10.931,,,256.54
22,33.51,400.06,144.26,362026.82,0.0,91.0,2380.0,11.295,,,256.78
23,33.57,169.33,144.26,362254.62,0.0,93.0,2382.0,11.659,,,257.03
24,33.6,155.76,144.26,362745.63,0.0,90.0,2383.0,12.023,,,257.08
25,33.66,22.69,144.26,363251.46,0.0,96.0,2386.0,12.387,,,257.42
26,33.48,256.12,144.26,362213.41,0.0,92.0,2379.0,12.75,,,256.7
27,33.69,28.75,144.26,355191.33,0.0,96.0,2333.0,13.114,,,251.68
28,33.62,319.75,144.26,355621.63,0.0,91.0,2336.0,13.478,,,252.0
29,33.55,35.39,144.26,356051.93,0.0,98.0,2339.0,13.842,,,252.33
30,33.48,82.17,144.26,356482.23,0.0,96.0,2342.0,14.206,,,252.66
31,33.63,391.77,144.26,354548.09,0.0,90.0,2329.0,14.57,,,251.29
32,33.66,288.02,144.26,355642.17,0.0,92.0,2349.0,14.934,,,253.46
33,33.39,73.78,144.26,355689.23,0.0,93.0,2350.0,15.298,,,253.56
34,33.45,314.67,144.28,356121.09,0.0,99.0,2352.0,15.662,,,253.88
35,33.48,140.56,144.29,355913.52,0.0,91.0,2350.0,16.026,,,253.74
36,33.51,89.82,144.31,355705.96,0.0,98.0,2348.0,16.39,,,253.59
37,33.54,16.74,144.33,355498.39,0.0,98.0,2346.0,16.753,,,253.45
38,33.54,334.87,144.33,358113.34,0.0,98.0,2363.0,17.117,,,255.33
39,33.51,256.52,144.12,356649.8,0.0,91.0,2346.0,17.481,,,254.64
40,33.48,172.64,144.12,360855.69,0.0,93.0,2374.0,17.845,50.0,205.25,257.64
41,33.36,100.26,144.07,362466.65,0.0,95.0,2391.0,18.209,,,258.9
42,33.26,401.13,144.06,362645.62,0.0,98.0,2393.0,18.573,,,259.06
43,33.16,347.35,144.06,362824.58,0.0,91.0,2394.0,18.937,,,259.22
44,33.06,237.33,144.06,363003.55,0.0,95.0,2396.0,19.301,,,259.38
45,33.06,478.55,144.06,360949.94,0.0,94.0,2382.0,19.665,,,257.86
46,33.0,381.16,144.06,359890.7,0.0,91.0,2375.0,20.029,,,257.12
47,32.97,214.28,144.06,361042.63,0.0,94.0,2383.0,20.393,,,258.04
48,32.94,378.4,144.06,359506.68,0.0,96.0,2373.0,20.757,,,256.91
49,32.96,184.13,144.06,360305.05,0.0,91.0,2378.0,21.12,,,257.5
50,32.98,162.8,144.06,361103.43,0.0,96.0,2384.0,21.484,,,258.08
51,33.0,240.48,144.06,361901.8,0.0,94.0,2389.0,21.848,,,258.67
52,33.09,47.88,144.06,364461.63,0.0,96.0,2408.0,22.212,,,260.67
53,33.12,242.94,144.06,364502.06,0.0,91.0,2408.0,22.576,,,260.7
54,33.12,1.33,144.06,358022.21,0.0,92.0,2366.0,22.94,,,256.11
55,33.09,473.1,144.06,358002.19,0.0,91.0,2366.0,23.304,,,256.14
56,33.3,416.8,144.06,357774.65,0.0,92.0,2365.0,23.668,,,256.01
57,33.51,38.12,144.06,357547.1,0.0,92.0,2363.0,24.032,,,255.87
58,33.72,262.76,144.06,357319.56,0.0,98.0,2362.0,24.396,,,255.74
59,33.69,15.37,144.06,357399.9,0.0,98.0,2362.0,24.76,,,255.73
60,33.81,153.55,144.06,357124.82,0.0,96.0,2360.0,25.123,,,255.53
61,33.81,394.66,144.06,358869.68,0.0,95.0,2371.0,25.487,,,256.73
62,33.72,339.52,144.06,361275.85,0.0,92.0,2386.0,25.851,,,258.36
63,33.73,474.84,144.06,360829.78,0.0,95.0,2383.0,26.215,,,258.04
64,33.74,470.0,144.06,360383.7,0.0,97.0,2380.0,26.579,,,257.73
65,33.75,429.93,144.06,359937.63,0.0,90.0,2378.0,26.943,,,257.41
66,33.66,302.84,144.06,352579.24,0.0,98.0,2329.0,27.307,,,252.15
67,33.69,57.93,144.06,353253.03,0.0,90.0,2334.0,27.671,,,252.68
68,36.27,161.43,144.18,354878.94,0.0,99.0,2338.0,28.035,,,253.83
69,36.12,348.95,144.16,353083.38,0.0,95.0,2327.0,28.399,,,252.49
70,36.12,190.19,144.21,353083.38,0.0,98.0,2328.0,28.763,,,252.7
71,36.12,281.47,144.25,353083.38,0.0,95.0,2329.0,29.127,51.0,193.75,252.9
72,36.12,139.61,144.29,353083.38,0.0,91.0,2330.0,29.49,,,253.11
73,36.21,226.65,144.29,354125.72,0.0,93.0,2331.0,29.854,,,253.32
74,36.27,299.47,144.29,357137.04,0.0,93.0,2351.0,30.218,,,255.56
75,36.27,146.73,144.29,357788.86,0.0,90.0,2355.0,30.582,,,256.0
76,36.3,49.7,144.29,358192.9,0.0,92.0,2358.0,30.946,,,256.3
77,36.4,403.77,144.29,359702.11,0.0,95.0,2368.0,31.31,,,257.4
78,36.5,233.14,144.29,361211.33,0.0,100.0,2378.0,31.674,,,258.5
79,36.6,303.91,144.29,362720.54,0.0,92.0,2388.0,32.038,,,259.6
80,36.54,200.42,144.29,364935.09,0.0,100.0,2402.0,32.402,,,261.07
81,36.54,111.84,144.35,362519.04,0.0,100.0,2389.0,32.766,,,259.7
82,36.6,298.34,144.35,362214.45,0.0,94.0,2387.0,33.13,,,259.52
83,36.42,375.58,144.35,362353.68,0.0,90.0,2388.0,33.493,,,259.61
84,36.39,456.69,144.35,361997.83,0.0,94.0,2385.0,33.857,,,259.34
85,36.36,155.25,144.35,361641.97,0.0,95.0,2383.0,34.221,,,259.07
86,36.33,267.4,144.35,361286.12,0.0,98.0,2380.0,34.585,,,258.8
87,36.36,417.54,144.35,363425.27,0.0,94.0,2394.0,34.949,,,260.33
88,36.51,123.65,144.35,368347.07,0.0,100.0,2427.0,35.313,,,263.89
89,36.54,41.26,144.35,368890.47,0.0,95.0,2431.0,35.677,,,264.29
90,36.48,52.23,144.35,366392.13,0.0,95.0,2414.0,36.041,,,262.5
91,36.51,413.29,143.63,366270.28,0.0,99.0,2419.0,36.405,,,262.75
92,36.54,91.66,142.91,366148.42,0.0,90.0,2424.0,36.769,,,263.0
93,36.57,99.58,142.18,366026.57,0.0,99.0,2429.0,37.133,,,263.26
94,36.57,215.22,142.18,365011.66,0.0,92.0,2422.0,37.497,,,262.53
95,36.48,403.1,142.18,364128.44,0.0,99.0,2416.0,37.86,,,261.86
96,36.45,106.65,142.18,365268.8,0.0,94.0,2423.0,38.224,,,262.64
97,36.45,224.63,142.15,363189.45,0.0,91.0,2409.0,38.588,,,261.09
98,36.43,405.83,142.6,362466.17,0.0,96.0,2393.0,38.952,,,260.6
99,36.41,214.86,143.05,361742.9,0.0,95.0,2377.0,39.316,,,260.12
100,36.39,7.09,143.51,361019.62,0.0,98.0,2361.0,39.68,,,259.63
101,36.45,154.08,143.51,364462.93,0.0,90.0,2383.0,39.68,52.0,183.0,262.1
